,FTSEMIB payout,HSCEI payout,NDX payout,Triggered,Above Strike Lvl
0,9646.232683742352,4505.185704018638,3597.0804109220458,0,0
1,11004.14420371511,5139.3859941914125,4103.4456509490365,0,0
2,5926.261529023855,2767.806831347945,2209.903073557459,0,0
3,10878.118184882389,5080.526682272006,4056.4505453495512,0,0
4,15552.798034367266,7263.793613439658,5799.638779058055,0,0
5,9936.437101349751,4640.723051739001,3705.2976455630865,0,0
6,12444.716824135061,5812.192403480592,4640.635217416438,0,0
7,10945.390633123081,5111.945670598827,4081.5364429942556,0,0
8,9314.580560895398,4350.290580549788,3473.4073259523952,0,0
9,7208.854177020096,3366.8301237852907,2688.1819043258274,0,0
10,12586.940741590448,5878.61679740688,4693.67051982062,0,0
11,9468.006069755422,4421.946576399124,3530.6197020737263,0,0
12,8611.933710220981,4022.125725894427,3211.390297624145,0,0
13,8694.004184692438,4060.4559984923494,3241.9943796233183,0,0
14,11878.025600532135,5547.524394437891,4429.316045850209,0,0
15,11480.834074910616,5362.0196858480485,4281.203315933857,0,0
16,10679.700082709322,4987.857302770596,3982.460430047649,0,0
17,10466.238296948075,4888.161906951806,3902.860524756506,0,0
18,12515.347071577726,5845.179621546178,4666.973238468199,0,0
19,11770.393705420638,5497.255891588067,4389.180109450032,0,0
20,7930.997608945939,3704.1006803256164,2957.469208294189,0,0
21,8868.053558248423,4141.744183760717,3306.8973954096427,0,0
22,8489.26272606301,3964.8333525663584,3165.646284539446,0,0
23,11384.847070741871,5317.189823959954,4245.4097596597685,0,0
24,12418.664460298978,5800.024882650618,4630.920290285256,0,0
25,11905.598304180161,5560.401976222288,4439.597907735588,0,0
26,9001.132425848215,4203.897464888596,3356.522508492151,0,0
27,8021.778961306775,3746.499289633147,2991.3215768778887,0,0
28,8986.610976167025,4197.115353192743,3351.10745953999,0,0
29,7014.43663209984,3276.029168355162,2615.6835969243416,0,0
30,10973.223064222877,5124.944555739781,4091.9151572529468,0,0
31,8461.09998728316,3951.6802002117784,3155.144398538536,0,0
32,13706.812507676797,6401.642774108594,5111.270729623052,0,0
33,16492.375207593097,7702.614631698262,6150.007130638077,0,0
34,11901.408277742099,5558.445062282193,4438.035446771216,0,0
35,12739.533393013717,5949.8838147253655,4750.572323382789,0,0
36,13774.96913114606,6433.474708476651,5136.686336232777,0,0
37,9293.60702483264,4340.495080282424,3465.5862938259093,0,0
38,13673.987398110079,6386.312103659178,5099.030245438194,0,0
39,11348.613038004747,5300.267046784845,4231.898087938736,0,0
40,10530.679958449386,4918.258801942554,3926.8908219547393,0,0
41,5825.264999566186,2720.637315995589,2172.2414651768545,0,0
42,8913.502635386882,4162.970764053572,3323.8453574202176,0,0
43,12262.324304130045,5727.007627144912,4572.621042108963,0,0
44,15071.99384879242,7039.238368474972,5620.346886137467,0,0
45,13860.449718356935,6473.397643377713,5168.562049358439,0,0
46,10047.27525257677,4692.489007500094,3746.629194949561,0,0
47,14514.819461160838,6779.015111572433,5412.576542944842,0,0
48,15309.185694092297,7150.0166739118495,5708.7957312287335,0,0
49,12045.372284418745,5625.682149136421,4491.719628489866,0,0
